Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Area,Item,hg/ha_yield
2004,56.0,7306.63,19.76,Libya,Maize,24000
1997,1083.0,52279.0,26.53,India,Sorghum,6920
2007,1083.0,27422.77,24.6,India,Soybeans,12351
1995,1761.0,92967.22,22.07,Brazil,Sorghum,17981
1995,758.0,34468.93,16.68,Mexico,Potatoes,199803
2004,1020.0,1670.0,20.79,Zambia,Sorghum,5797
1992,624.0,1497.0,7.94,Sweden,Wheat,53249
2012,1083.0,52980.0,25.3,India,Potatoes,217530
2008,447.0,262.99,12.3,Azerbaijan,"Rice, paddy",27973
1998,416.0,17.0,20.05,Botswana,Maize,910
1995,151.0,62.0,29.56,Niger,Potatoes,170789
2013,832.0,55633.0,8.04,Italy,Maize,86989
2001,1083.0,43720.04,25.82,India,Sweet potatoes,88368
2005,2274.0,18391.23,22.21,Ecuador,Sweet potatoes,30654
2008,1537.0,2011.47,7.98,Switzerland,Maize,97027
1998,2274.0,21500.0,18.12,Ecuador,Sorghum,13548
2005,1212.0,222.92,20.29,Rwanda,Sweet potatoes,59629
1999,591.0,62831.39,17.15,Argentina,Sweet potatoes,143991
2005,1738.0,10227.74,17.02,Peru,"Rice, paddy",68971
2005,495.0,26857.0,19.74,South Africa,Potatoes,333534
2011,495.0,26857.0,15.49,South Africa,Wheat,33157
2000,593.0,33471.0,14.29,Turkey,Wheat,22928
1998,250.0,6416.14,3.25,Kazakhstan,Maize,26780
1994,1761.0,84312.78,19.15,Brazil,Potatoes,144802
2000,3240.0,75843.0,26.98,Colombia,Sorghum,29211
2007,1761.0,304031.0,24.78,Brazil,Wheat,22199
2006,1020.0,1670.0,21.05,Zambia,Sweet potatoes,31527
1990,657.0,5727.0,21.19,Zimbabwe,"Rice, paddy",23400
2009,1274.0,177.75,21.42,Burundi,Maize,10032
1998,1083.0,49157.0,26.12,India,"Rice, paddy",28805
2011,2274.0,17529.44,21.78,Ecuador,Sorghum,15838
1996,1440.0,14.44,26.85,Haiti,"Rice, paddy",24896
2012,1668.0,54716.4,15.53,Japan,Sweet potatoes,225747
2004,1537.0,1390.7,7.67,Switzerland,Wheat,61177
2006,1083.0,37423.0,26.37,India,Maize,19125
1999,1083.0,46195.0,26.96,India,Sweet potatoes,85744
2007,1083.0,27422.77,26.27,India,"Rice, paddy",32924
2000,383.0,24.96,24.76,Eritrea,Sorghum,4118
2005,593.0,40332.0,11.24,Turkey,Soybeans,33721
1993,1522.0,15373.0,6.16,Chile,Wheat,33500
1999,346.0,13028.29,17.68,Morocco,Soybeans,11200
2008,700.0,43413.01,10.66,Germany,Potatoes,437606
2010,1761.0,342580.0,27.56,Brazil,Wheat,28288
2010,600.0,19449.02,7.67,Poland,Maize,59824
1990,2280.0,575.0,27.03,Nicaragua,Maize,12825
1996,1513.0,152.01,19.71,Madagascar,Wheat,20000
2009,657.0,3269.99,20.52,Zimbabwe,"Rice, paddy",22857
1998,495.0,24304.0,21.22,South Africa,Maize,21611
2009,534.0,38065.68,12.87,Australia,Maize,58171
1997,2331.0,139.0,27.27,Suriname,Soybeans,8200
2013,1996.0,20489.4,20.37,Guatemala,Cassava,12450
1992,758.0,34468.93,19.97,Mexico,Potatoes,168178
2006,748.0,109.24,28.92,Burkina Faso,Yams,85482
1994,1622.0,20448.0,27.76,Thailand,Cassava,138073
2009,1083.0,28707.01,27.15,India,Cassava,343433
1992,1083.0,70791.0,25.27,India,Maize,16758
2000,216.0,548.0,20.28,Iraq,Potatoes,140645
1996,1083.0,56114.0,26.46,India,"Rice, paddy",28226
2005,494.0,7914.31,27.21,Pakistan,Sorghum,5998
2008,534.0,42935.38,18.78,Australia,Sorghum,40252
1992,758.0,34468.93,24.87,Mexico,"Rice, paddy",43577
1991,2702.0,3259.0,26.92,Indonesia,Sweet potatoes,95150
1998,1668.0,79821.18,16.39,Japan,Yams,200786
2006,1342.0,22.87,25.85,Central African Republic,Plantains and others,28962
1999,1761.0,127585.0,25.32,Brazil,Soybeans,23724
2001,534.0,32710.0,17.85,Australia,Potatoes,328633
2007,867.0,77255.0,11.75,France,Wheat,62542
2002,3240.0,84023.26,27.77,Colombia,"Rice, paddy",48001
2000,494.0,27885.0,27.73,Pakistan,Potatoes,169078
1990,1761.0,49695.0,27.07,Brazil,Yams,91489
1992,1083.0,70791.0,26.78,India,"Rice, paddy",26092
1993,1342.0,0.25,25.14,Central African Republic,Yams,67058
1998,1976.0,3495.0,25.37,Honduras,Maize,10557
1999,748.0,93.43,28.45,Burkina Faso,Yams,65350
1993,1083.0,66388.0,25.97,India,Sorghum,8981
1993,1113.0,2675.33,10.19,Croatia,Soybeans,23084
2010,636.0,39043.0,12.01,Spain,Maize,105553
2013,1300.0,19028.6,15.92,Uruguay,Sorghum,42653
1992,2702.0,825.0,26.72,Indonesia,Soybeans,11230
2011,3240.0,53797.0,22.33,Colombia,"Rice, paddy",39589
2008,591.0,87149.01,17.71,Argentina,Soybeans,28216
2013,758.0,59920.18,17.18,Mexico,Potatoes,267752
2012,1032.0,766.93,21.92,Mozambique,Wheat,9958
2005,1761.0,232232.0,24.79,Brazil,Wheat,19735
2009,1522.0,9830.72,6.7,Chile,Maize,104956
1998,1083.0,49157.0,24.34,India,"Rice, paddy",28805
2000,593.0,33471.0,10.39,Turkey,"Rice, paddy",60492
2007,1083.0,27422.77,24.59,India,Sweet potatoes,86976
1997,608.0,3262.25,8.26,Bulgaria,Sorghum,25429
1997,1083.0,52279.0,25.75,India,"Rice, paddy",28457
1999,56.0,2269.75,20.27,Libya,Potatoes,249910
2007,1083.0,27422.77,25.44,India,Soybeans,12351
2006,1414.0,696.34,4.43,Norway,Potatoes,269329
2002,641.0,335.31,6.83,Latvia,Wheat,33844
2007,1300.0,14057.2,16.53,Uruguay,Maize,57541
1999,593.0,33089.0,13.02,Turkey,Maize,44376
2011,1761.0,345026.0,25.89,Brazil,"Rice, paddy",48956
1991,832.0,88916.6,12.05,Italy,Soybeans,36828
1993,1180.0,71.0,23.62,Uganda,Plantains and others,55255
2009,1761.0,335742.0,26.3,Brazil,Wheat,20802
1995,593.0,27328.0,10.93,Turkey,Maize,37322
2008,1083.0,14485.33,25.88,India,Sorghum,10209
1992,2702.0,825.0,27.01,Indonesia,Maize,22030
1993,2702.0,1597.0,27.04,Indonesia,Potatoes,158338
1994,416.0,17.0,19.26,Botswana,Sorghum,2182
1998,1761.0,118930.56,26.63,Brazil,"Rice, paddy",25198
1998,636.0,35070.0,17.15,Spain,Maize,94731
1996,1342.0,22.87,25.32,Central African Republic,Potatoes,25676
1993,1083.0,66388.0,25.66,India,Sweet potatoes,85962
1991,495.0,16582.0,21.06,South Africa,Sweet potatoes,36715
2011,3240.0,53797.0,27.18,Colombia,Soybeans,21766
2009,1083.0,28707.01,25.99,India,Wheat,29071
2011,494.0,1979.27,23.36,Pakistan,Wheat,28328
1997,346.0,12214.0,18.31,Morocco,Wheat,9292
1998,1784.0,3009.39,26.48,El Salvador,Cassava,131429
1993,758.0,34468.93,16.86,Mexico,Maize,24401
2002,2041.0,606.85,24.4,Mauritius,Potatoes,220116
1995,494.0,7681.0,26.63,Pakistan,Sweet potatoes,100688
2006,1996.0,15951.27,19.88,Guatemala,Plantains and others,163086
2009,758.0,61690.08,20.32,Mexico,Soybeans,18675
1991,51.0,8255.0,21.65,Egypt,"Rice, paddy",74554
2001,2274.0,7344.0,21.51,Ecuador,Sorghum,14384
2010,1212.0,953.85,20.12,Rwanda,Sweet potatoes,74877
2006,1083.0,37423.0,24.72,India,Sweet potatoes,86849
1991,1083.0,72133.0,25.06,India,Sorghum,6553
2004,593.0,28831.0,17.97,Turkey,"Rice, paddy",70010
2007,758.0,64501.28,22.18,Mexico,Sweet potatoes,204599
2001,89.0,710.11,18.13,Algeria,Wheat,11104
2011,1761.0,345026.0,24.32,Brazil,Wheat,26602
1994,700.0,26330.0,6.64,Germany,Wheat,67684
2005,1761.0,232232.0,28.17,Brazil,Soybeans,22303
1996,1212.0,218.6,19.31,Rwanda,Cassava,27580
2002,656.0,792.6,7.26,Lithuania,Wheat,36335
2005,3240.0,117881.45,27.56,Colombia,Potatoes,151954
2004,1522.0,9830.72,6.32,Chile,"Rice, paddy",47898
2011,1668.0,51796.3,15.71,Japan,Potatoes,294691
2002,1083.0,42482.56,26.7,India,Sorghum,7602
1999,758.0,34468.93,16.09,Mexico,Potatoes,223519
1994,2702.0,1597.0,27.34,Indonesia,Potatoes,156474
1999,3240.0,66088.0,21.83,Colombia,Cassava,97882
1991,636.0,39147.0,16.37,Spain,Sorghum,55615
1993,536.0,1200.0,4.74,Finland,Potatoes,213516
2006,1020.0,1670.0,21.05,Zambia,Potatoes,140000
2005,1032.0,770.88,22.27,Mozambique,Wheat,11071
2011,1761.0,345026.0,25.89,Brazil,Sweet potatoes,124266
2009,92.0,4.29,27.57,Mauritania,Sweet potatoes,10005
2000,589.0,4151.0,11.69,Hungary,Wheat,36044
1997,1761.0,110276.11,25.96,Brazil,Soybeans,22977
1993,1181.0,173.19,20.43,Malawi,"Rice, paddy",16834
1990,2280.0,575.0,27.03,Nicaragua,Potatoes,143750
2006,1738.0,12074.5,17.61,Peru,Sorghum,53289
1997,2331.0,139.0,27.27,Suriname,Cassava,162653
2011,92.0,13.35,27.87,Mauritania,Maize,6611
1992,1761.0,67003.89,27.58,Brazil,Maize,22828
2013,636.0,54197.0,17.46,Spain,Maize,110445
1999,832.0,81583.0,12.95,Italy,Maize,97444
2000,1342.0,22.87,25.4,Central African Republic,Cassava,29839
1997,1083.0,52279.0,26.53,India,Sweet potatoes,84850
2002,1083.0,42482.56,24.91,India,Sorghum,7602
1992,758.0,34468.93,17.33,Mexico,Potatoes,168178
2004,2274.0,29799.84,22.04,Ecuador,Plantains and others,58351
1990,854.0,9357.0,16.55,Portugal,Wheat,14269
2010,285.0,56.0,20.62,Namibia,Maize,19882
2012,2702.0,1597.0,26.87,Indonesia,Sweet potatoes,139290
2010,691.0,262.1,8.98,Tajikistan,Wheat,30159
1996,1784.0,3319.85,25.77,El Salvador,Plantains and others,64137
1999,56.0,2269.75,21.08,Libya,Potatoes,249910
1999,1083.0,46195.0,27.21,India,Cassava,239523
2007,495.0,26857.0,18.98,South Africa,Potatoes,330590
2004,51.0,5363.0,22.08,Egypt,"Rice, paddy",98384
1994,1083.0,61357.0,25.92,India,Maize,14480
2008,652.0,5130.8,18.61,Greece,Maize,104810
2007,1020.0,1670.0,20.87,Zambia,Sweet potatoes,27702
2000,758.0,34468.93,16.9,Mexico,Potatoes,239420
1997,250.0,8112.0,4.52,Kazakhstan,Sorghum,6250
1994,494.0,6183.0,26.87,Pakistan,"Rice, paddy",24333
2007,565.0,36476.0,9.46,Ukraine,Maize,39001
1995,1761.0,92967.22,18.27,Brazil,Potatoes,152304
2001,1522.0,13156.09,6.41,Chile,Potatoes,191735
2000,2702.0,1597.0,27.23,Indonesia,Potatoes,133759
2002,1732.0,4170.0,13.28,New Zealand,Wheat,71467
1994,1761.0,84312.78,21.91,Brazil,Yams,91667
1990,591.0,26156.0,17.67,Argentina,Soybeans,21566
2011,788.0,175.27,14.32,Lesotho,Maize,6344
2005,657.0,3129.26,21.49,Zimbabwe,Sorghum,2726
2005,494.0,7914.31,22.8,Pakistan,"Rice, paddy",31742
1996,1180.0,88.0,23.49,Uganda,Cassava,67015
2002,534.0,26651.0,12.31,Australia,"Rice, paddy",82580
1990,2274.0,2537.0,21.82,Ecuador,Potatoes,71727
1990,1668.0,79821.18,16.12,Japan,"Rice, paddy",63279
1992,1668.0,79821.18,15.21,Japan,Wheat,35371
2008,1522.0,9830.72,6.57,Chile,Potatoes,172591
1990,495.0,16582.0,20.56,South Africa,Sweet potatoes,35872
1999,494.0,20450.0,27.54,Pakistan,Sweet potatoes,112339
1993,1440.0,6.96,26.78,Haiti,Yams,55556
1996,1712.0,1654.41,26.38,Sri Lanka,Soybeans,8551
2011,534.0,47632.99,12.16,Australia,Maize,57390
2012,1083.0,52980.0,26.65,India,Wheat,31775
2000,537.0,39667.0,6.93,Canada,Maize,62844
2002,216.0,878.68,20.1,Iraq,"Rice, paddy",25000
2002,2702.0,1597.0,27.01,Indonesia,Potatoes,155903
1993,591.0,26156.0,17.32,Argentina,Soybeans,21589
1996,1513.0,152.01,19.71,Madagascar,Soybeans,6208
2005,832.0,84647.0,12.16,Italy,Maize,93678
2011,2274.0,17529.44,22.11,Ecuador,Cassava,28346
1990,1083.0,75000.0,26.63,India,Maize,15178
1991,1410.0,4971.0,26.43,Dominican Republic,Plantains and others,108065
2007,1414.0,722.07,3.96,Norway,Wheat,43973
1997,1410.0,3846.0,27.01,Dominican Republic,"Rice, paddy",48213
2008,1712.0,1152.39,26.42,Sri Lanka,Potatoes,145282
1992,1761.0,67003.89,18.72,Brazil,Cassava,120019
2010,832.0,71613.0,12.63,Italy,Sorghum,66683
2006,686.0,511.93,25.32,Senegal,"Rice, paddy",22401
1998,1083.0,49157.0,27.09,India,Maize,17969
1994,758.0,34468.93,16.45,Mexico,Potatoes,190845
2006,1180.0,88.0,23.95,Uganda,Sweet potatoes,45000
1999,59.0,2853.74,26.92,Saudi Arabia,Maize,18723
2000,1083.0,44957.52,25.34,India,Sorghum,7639
2007,2702.0,1597.0,27.21,Indonesia,Cassava,166362
2007,2274.0,14156.16,17.44,Ecuador,Cassava,45107
2005,2702.0,1597.0,27.48,Indonesia,Sweet potatoes,104128
1994,661.0,1221.0,19.93,Lebanon,Sorghum,15068
2010,1187.0,378.97,27.57,Ghana,Sweet potatoes,16904
2005,1083.0,35342.0,25.07,India,Cassava,304978
2012,216.0,1979.27,24.34,Iraq,Potatoes,134713
1997,636.0,34023.0,13.02,Spain,Sweet potatoes,166805
1999,3240.0,66088.0,26.77,Colombia,Cassava,97882
1999,1712.0,1766.91,26.32,Sri Lanka,Maize,10897
1994,2041.0,486.72,24.17,Mauritius,Maize,37288
1995,700.0,30090.0,5.33,Germany,Maize,73664
2007,1083.0,27422.77,25.46,India,Maize,23352
2008,758.0,61732.11,16.22,Mexico,Soybeans,20196
2008,637.0,7193.7,12.5,Romania,"Rice, paddy",49326
1996,636.0,33236.0,17.01,Spain,Sorghum,47204
2006,1083.0,37423.0,27.47,India,Sweet potatoes,86849
1990,537.0,29568.0,6.07,Canada,Wheat,22769
2013,1668.0,52794.3,16.3,Japan,Yams,217415
2004,630.0,1578.0,16.92,Kenya,Sorghum,5644
2002,495.0,26857.0,19.28,South Africa,Potatoes,324147
1999,630.0,3056.0,16.7,Kenya,Soybeans,8228
1990,758.0,34468.93,19.63,Mexico,Sorghum,32888
2001,1083.0,43720.04,26.91,India,Potatoes,183627
2006,2051.0,909.71,27.58,Jamaica,Sweet potatoes,166159
2013,59.0,5412.5,27.78,Saudi Arabia,Maize,61024
1992,758.0,34468.93,21.92,Mexico,"Rice, paddy",43577
2013,537.0,81659.8,9.85,Canada,Maize,95878
1996,589.0,6946.0,9.44,Hungary,Wheat,32780
1991,832.0,88916.6,7.28,Italy,Potatoes,200113
1998,1738.0,4374.0,18.13,Peru,Maize,21121
1990,495.0,16582.0,18.91,South Africa,"Rice, paddy",18976
1991,495.0,16582.0,21.06,South Africa,Potatoes,200188
1996,1220.0,35579.0,8.8,United Kingdom,Wheat,81315
2002,758.0,16189.88,19.62,Mexico,"Rice, paddy",45027
1991,1513.0,131.0,19.79,Madagascar,Potatoes,55983
2007,2274.0,14156.16,17.44,Ecuador,Plantains and others,55969
2009,1732.0,5086.0,12.84,New Zealand,Potatoes,478154
1997,1761.0,110276.11,24.71,Brazil,"Rice, paddy",27310
2000,758.0,34468.93,25.16,Mexico,Soybeans,14623
1993,2331.0,188.0,26.83,Suriname,Soybeans,7857
1998,657.0,2883.0,21.3,Zimbabwe,Maize,10125
2009,1784.0,3333.88,26.21,El Salvador,Soybeans,19172
1991,1522.0,15373.0,6.37,Chile,Potatoes,142245
1990,1220.0,29517.0,8.68,United Kingdom,Wheat,69712
2007,700.0,40740.64,6.28,Germany,Maize,94475
2005,346.0,13966.0,18.15,Morocco,Potatoes,238090
2000,2331.0,176.0,26.86,Suriname,"Rice, paddy",38970
2002,593.0,27915.0,10.81,Turkey,Potatoes,262966
1997,593.0,34431.0,18.65,Turkey,"Rice, paddy",50005
2005,1162.0,1383.88,9.62,Slovenia,Potatoes,229486
2000,2702.0,1597.0,27.23,Indonesia,Maize,27649
2002,534.0,26651.0,18.93,Australia,Wheat,21076
2009,1761.0,335742.0,20.78,Brazil,Sweet potatoes,113035
2006,1212.0,288.72,20.02,Rwanda,"Rice, paddy",44843
1996,2274.0,2407.0,21.69,Ecuador,Potatoes,84913
2008,1651.0,424.9,27.61,Guinea,Plantains and others,52140
1996,534.0,31185.0,16.12,Australia,Wheat,21673
1998,1522.0,15373.0,13.19,Chile,"Rice, paddy",39089
2002,758.0,16189.88,21.5,Mexico,Potatoes,237558
2001,1180.0,88.0,23.47,Uganda,Potatoes,69589
2009,661.0,1816.0,20.19,Lebanon,Maize,36210
2011,748.0,843.0,29.03,Burkina Faso,Yams,74827
2012,51.0,13991.0,22.48,Egypt,Sorghum,53034
1992,1410.0,4971.0,26.45,Dominican Republic,Plantains and others,79229
2005,661.0,1816.0,19.68,Lebanon,Potatoes,259594
2000,2702.0,1597.0,27.2,Indonesia,Cassava,125305
2012,2702.0,1597.0,27.49,Indonesia,Sweet potatoes,139290
1995,1083.0,61257.0,25.73,India,Cassava,252775
2002,1761.0,145552.0,27.27,Brazil,Cassava,137949
2011,832.0,70690.0,8.68,Italy,Soybeans,34024
2010,608.0,1588.5,9.65,Bulgaria,Soybeans,22717
1998,494.0,18406.0,19.15,Pakistan,Wheat,22376
2004,778.0,10655.4,10.27,Netherlands,Potatoes,456832
1990,1083.0,75000.0,25.68,India,"Rice, paddy",26125
1999,691.0,601.94,8.74,Tajikistan,Soybeans,260
2010,1410.0,6316.61,27.01,Dominican Republic,Potatoes,237316
1990,51.0,13214.0,20.73,Egypt,Soybeans,25773
1997,758.0,34468.93,25.21,Mexico,Soybeans,15057
2005,758.0,51741.99,20.09,Mexico,Potatoes,259662
2005,758.0,51741.99,21.42,Mexico,Maize,29276
2006,2702.0,1597.0,27.39,Indonesia,Potatoes,169363
1993,1083.0,66388.0,26.07,India,Soybeans,10857
2005,2280.0,9391.92,27.2,Nicaragua,Cassava,88416
2012,2041.0,636.91,24.37,Mauritius,Maize,71207
2004,832.0,83810.0,12.75,Italy,Maize,94975
1994,1522.0,15373.0,13.42,Chile,Maize,89381
1993,636.0,29408.0,16.28,Spain,Soybeans,15456
2000,591.0,63265.78,17.66,Argentina,Soybeans,23312
1998,2702.0,1597.0,25.81,Indonesia,Sweet potatoes,95750
2002,1500.0,132.36,15.44,Nepal,Soybeans,8595
2007,1513.0,93.88,20.02,Madagascar,Maize,16191
2011,636.0,53549.0,17.98,Spain,"Rice, paddy",75800
1998,2387.0,289.9,27.71,Guyana,"Rice, paddy",40405
2010,1761.0,342580.0,20.72,Brazil,Potatoes,258859
2013,2702.0,1597.0,27.37,Indonesia,Maize,48441
1999,608.0,3004.75,9.67,Bulgaria,Wheat,27352
2001,1083.0,43720.04,26.32,India,Sorghum,7715
2005,1522.0,9830.72,13.06,Chile,Wheat,44130
1990,2331.0,217.0,26.87,Suriname,"Rice, paddy",37691
2007,59.0,4216.71,26.49,Saudi Arabia,Maize,56250
1998,1083.0,49157.0,25.55,India,Wheat,24852
1990,1513.0,128.41,19.62,Madagascar,Potatoes,69744
2001,636.0,35700.0,17.84,Spain,Maize,97208
1994,591.0,30195.0,18.31,Argentina,"Rice, paddy",42989
2009,854.0,13984.91,16.84,Portugal,Sweet potatoes,132882
2005,1083.0,35342.0,25.82,India,"Rice, paddy",31537
1998,495.0,24304.0,21.22,South Africa,Sorghum,27306
1990,494.0,5299.0,19.36,Pakistan,Sorghum,5736
2007,2387.0,246.5,27.3,Guyana,Cassava,109103
1991,51.0,8255.0,20.64,Egypt,Wheat,48163
2008,1162.0,1218.15,11.09,Slovenia,Maize,73207
2008,2274.0,15396.14,21.72,Ecuador,Soybeans,16000
1998,1083.0,49157.0,24.34,India,Soybeans,11001
1997,534.0,34091.0,20.16,Australia,Soybeans,18974
1998,593.0,30162.0,14.48,Turkey,"Rice, paddy",52601
1992,748.0,29.1,28.06,Burkina Faso,Sorghum,9437
1996,1110.0,3565.0,7.4,Austria,Potatoes,291997
2009,2051.0,909.71,27.42,Jamaica,Cassava,186352
1991,1083.0,72133.0,25.55,India,Cassava,218925
1997,636.0,34023.0,13.02,Spain,Maize,91501
2010,416.0,17.0,19.98,Botswana,Maize,1617
1997,1761.0,110276.11,21.91,Brazil,Yams,91773
2012,1083.0,52980.0,25.88,India,Wheat,31775
2002,1342.0,22.87,25.44,Central African Republic,"Rice, paddy",14891
2012,1212.0,925.52,19.79,Rwanda,Potatoes,141869
2006,495.0,26857.0,18.42,South Africa,Potatoes,331650
1996,3240.0,18131.0,22.07,Colombia,Potatoes,161255
2004,1761.0,214725.0,20.05,Brazil,Wheat,20728
1994,2274.0,2670.0,17.4,Ecuador,Maize,11208
2013,758.0,59920.18,17.34,Mexico,Wheat,52934
2011,1513.0,310.36,20.33,Madagascar,Maize,15490
1990,1020.0,1080.0,21.43,Zambia,Sorghum,4042
2012,51.0,13991.0,22.48,Egypt,Wheat,65823
1998,1180.0,88.0,23.97,Uganda,Wheat,18000
2011,626.0,460.0,6.98,Estonia,Potatoes,178361
1993,1522.0,15373.0,6.16,Chile,Sweet potatoes,60532
1996,608.0,3391.0,8.44,Bulgaria,Sorghum,13158
2000,1410.0,5082.0,26.35,Dominican Republic,Yams,64917
1999,1668.0,79821.18,15.66,Japan,Wheat,34544
1992,1212.0,97.0,19.54,Rwanda,Sweet potatoes,50248
2012,1712.0,2469.47,29.96,Sudan,"Rice, paddy",31746
1994,758.0,34468.93,16.42,Mexico,Wheat,43034
1992,1220.0,31077.0,10.15,United Kingdom,Wheat,68194
2011,51.0,12945.0,21.99,Egypt,Wheat,65428
2002,758.0,16189.88,22.59,Mexico,Maize,27105
2000,1761.0,140423.0,20.32,Brazil,Sweet potatoes,110351
2000,1083.0,44957.52,26.43,India,Sorghum,7639
2009,758.0,61690.08,16.65,Mexico,Cassava,143440
2006,867.0,71612.0,11.79,France,Maize,85818
2006,494.0,6925.13,23.28,Pakistan,Wheat,25186
1993,495.0,16582.0,16.01,South Africa,Potatoes,228678
1995,1761.0,92967.22,27.34,Brazil,Sorghum,17981
2011,636.0,53549.0,13.28,Spain,Soybeans,24893
1992,1761.0,67003.89,27.42,Brazil,Sweet potatoes,104452
1994,700.0,26330.0,10.43,Germany,Maize,70808
1994,1083.0,61357.0,25.75,India,Soybeans,9106
1998,700.0,33377.0,9.31,Germany,Potatoes,381394
2005,1761.0,232232.0,27.6,Brazil,"Rice, paddy",33691
1998,495.0,24304.0,16.11,South Africa,Maize,21611
1999,641.0,326.86,7.07,Latvia,Potatoes,158782
2011,1761.0,345026.0,27.36,Brazil,Yams,96414
2007,534.0,32446.25,20.31,Australia,Sweet potatoes,346237
2011,1083.0,55540.0,25.16,India,Soybeans,11998
2004,1522.0,9830.72,6.32,Chile,Sweet potatoes,72917
2001,537.0,38456.0,6.01,Canada,Potatoes,102703
1997,758.0,34468.93,20.35,Mexico,Soybeans,15057
1995,2702.0,1597.0,27.28,Indonesia,Cassava,116605
2002,2274.0,1302.49,22.23,Ecuador,Maize,14319
2013,2702.0,1597.0,27.34,Indonesia,Sweet potatoes,147465
2006,593.0,27421.0,11.12,Turkey,Wheat,23595
2012,1083.0,52980.0,26.21,India,Sorghum,9568
1996,591.0,54595.0,17.64,Argentina,Cassava,100000
2001,2702.0,1597.0,27.52,Indonesia,Potatoes,148495
1994,2274.0,2670.0,17.4,Ecuador,Wheat,6162
2009,1110.0,3531.8,9.48,Austria,Maize,108293
1992,593.0,27110.0,16.91,Turkey,Wheat,20405
1995,832.0,84153.0,7.43,Italy,Sorghum,62412
2002,1996.0,10381.71,19.93,Guatemala,Potatoes,335861
1994,1996.0,12004.33,20.08,Guatemala,Wheat,21025
2004,1083.0,35113.0,25.69,India,Sweet potatoes,88588
2008,494.0,4946.79,24.89,Pakistan,Maize,34154
2006,2331.0,1483.84,27.34,Suriname,Plantains and others,200476
2000,1522.0,14264.54,12.99,Chile,"Rice, paddy",52414
2000,1668.0,79821.18,15.67,Japan,Potatoes,306342
2010,1110.0,3692.4,8.36,Austria,Potatoes,305703
1999,2274.0,14216.0,21.43,Ecuador,Wheat,7001
1999,1083.0,46195.0,26.42,India,Maize,17922
2011,534.0,47632.99,14.19,Australia,Sweet potatoes,319252
2006,534.0,35900.0,12.51,Australia,"Rice, paddy",98176
1998,1500.0,91.07,15.49,Nepal,Wheat,15463
1999,250.0,4720.28,7.09,Kazakhstan,"Rice, paddy",28070
1992,1083.0,70791.0,25.91,India,Sorghum,9820
2006,691.0,241.9,8.97,Tajikistan,"Rice, paddy",31415
2004,1083.0,35113.0,25.69,India,Soybeans,9082
1992,636.0,31839.0,16.35,Spain,Wheat,19426
2013,1083.0,45620.0,26.99,India,Wheat,31538
1990,657.0,5727.0,21.19,Zimbabwe,Maize,17206
1995,1668.0,79821.18,15.32,Japan,Sweet potatoes,241020
1999,1976.0,2387.0,24.41,Honduras,Maize,12249
2010,593.0,38554.69,19.27,Turkey,"Rice, paddy",86899
2006,1083.0,37423.0,25.85,India,Cassava,321132
2004,1010.0,40.0,24.22,Angola,Potatoes,20150
1997,534.0,34091.0,17.51,Australia,Maize,59403
1991,534.0,17866.0,16.78,Australia,Maize,39938
1996,2702.0,1597.0,27.53,Indonesia,Potatoes,158631
2005,2051.0,909.71,27.34,Jamaica,Yams,150928
2000,1118.0,1942.21,9.43,Ireland,Potatoes,336889
1997,618.0,8306.31,5.98,Belarus,Wheat,25132
1996,494.0,11955.0,27.17,Pakistan,"Rice, paddy",28685
1991,589.0,8069.0,9.66,Hungary,Maize,67100
1995,1113.0,3418.0,10.14,Croatia,Soybeans,22852
1997,3240.0,16005.0,22.9,Colombia,"Rice, paddy",46445
2012,1761.0,346583.0,27.34,Brazil,"Rice, paddy",47860
1999,1083.0,46195.0,24.93,India,Wheat,25901
1991,1485.0,121.0,15.36,Albania,"Rice, paddy",28538
1994,758.0,34468.93,21.46,Mexico,Maize,22255
2005,537.0,36363.0,8.38,Canada,Wheat,27381
1998,494.0,18406.0,19.15,Pakistan,Sweet potatoes,108413
2012,1083.0,52980.0,25.88,India,Cassava,385818
2011,1761.0,345026.0,24.32,Brazil,"Rice, paddy",48956
2010,1668.0,55576.0,16.12,Japan,"Rice, paddy",65135
2011,51.0,12945.0,21.18,Egypt,Potatoes,264311
2009,758.0,61690.08,23.23,Mexico,Cassava,143440
1993,758.0,34468.93,22.11,Mexico,Soybeans,20927
2001,1083.0,43720.04,25.59,India,Sorghum,7715
2010,758.0,63402.29,20.9,Mexico,Maize,32599
2006,346.0,13697.0,18.38,Morocco,Sorghum,7841
2013,2702.0,1597.0,27.37,Indonesia,"Rice, paddy",51520
2010,2051.0,909.71,27.09,Jamaica,"Rice, paddy",47397
1993,537.0,29296.5,3.96,Canada,Wheat,22027
1996,494.0,11955.0,25.92,Pakistan,Potatoes,134795
1998,1761.0,118930.56,22.35,Brazil,Sweet potatoes,103928
1993,494.0,4945.0,26.51,Pakistan,Wheat,19466
2007,2280.0,9850.26,27.23,Nicaragua,Maize,13776
1999,2702.0,1597.0,27.01,Indonesia,Cassava,121763
1992,1513.0,101.06,19.76,Madagascar,Maize,8125
2011,1440.0,27.85,27.1,Haiti,Sweet potatoes,51166
2004,1020.0,1670.0,20.79,Zambia,Cassava,58000
1996,661.0,1221.0,19.65,Lebanon,Wheat,24726
